n_intervals,mean_rr_ms,mean_hr_bpm,rmssd_ms,sdnn_ms,pnn50_pct,min_rr_ms,max_rr_ms,window_start,window_end
60,672.95,89.15967010922058,39.58256764052768,53.3601212739709,11.864406779661017,585.0,865.0,2026-03-30T05:52:54+00:00,2026-03-30T05:53:54+00:00
60,694.8333333333334,86.35164307987526,42.85628328435811,52.42142357583886,16.94915254237288,593.0,865.0,2026-03-30T05:53:04+00:00,2026-03-30T05:54:04+00:00
60,705.9,84.99787505312368,42.82760079470374,42.12841546783488,16.94915254237288,622.0,865.0,2026-03-30T05:53:14+00:00,2026-03-30T05:54:14+00:00
60,702.7833333333333,85.37481917138996,41.09414573341709,43.911734143395265,16.94915254237288,606.0,865.0,2026-03-30T05:53:24+00:00,2026-03-30T05:54:24+00:00
60,699.35,85.79395152641739,41.03285165881403,46.10556236893692,16.94915254237288,606.0,865.0,2026-03-30T05:53:34+00:00,2026-03-30T05:54:34+00:00
60,695.7333333333333,86.23993867382138,42.424808859671494,49.94093686687549,22.033898305084744,598.0,865.0,2026-03-30T05:53:44+00:00,2026-03-30T05:54:44+00:00
60,684.7166666666667,87.62748582138597,30.599933532662938,40.841608754427355,13.559322033898304,598.0,803.0,2026-03-30T05:53:54+00:00,2026-03-30T05:54:54+00:00
60,668.2333333333333,89.78899585972964,33.21654682610532,34.24902159516369,13.559322033898304,532.0,757.0,2026-03-30T05:54:04+00:00,2026-03-30T05:55:04+00:00
60,668.3666666666667,89.771083736472,33.52155896216996,37.22763993515091,13.559322033898304,532.0,757.0,2026-03-30T05:54:14+00:00,2026-03-30T05:55:14+00:00
60,674.5166666666667,88.95258333127424,31.273262528117247,36.0548037029256,10.16949152542373,532.0,757.0,2026-03-30T05:54:24+00:00,2026-03-30T05:55:24+00:00
60,682.5166666666667,87.9099411491783,33.27364712832573,39.05515077758486,13.559322033898304,532.0,757.0,2026-03-30T05:54:34+00:00,2026-03-30T05:55:34+00:00
60,683.3,87.80916142250842,29.224438345504083,35.91246419762591,8.47457627118644,532.0,754.0,2026-03-30T05:54:44+00:00,2026-03-30T05:55:44+00:00
60,681.7833333333333,88.00449800767595,28.744343585053272,34.17407663894218,8.47457627118644,532.0,754.0,2026-03-30T05:54:54+00:00,2026-03-30T05:55:54+00:00
60,688.0666666666667,87.20085263055904,22.909179567906317,26.033789430092494,5.084745762711865,632.0,754.0,2026-03-30T05:55:04+00:00,2026-03-30T05:56:04+00:00
60,687.2166666666667,87.3087090437271,22.485777048870812,22.13295086797722,5.084745762711865,640.0,733.0,2026-03-30T05:55:14+00:00,2026-03-30T05:56:14+00:00
60,677.6,88.5478158205431,26.337766915623178,31.70745514645423,8.47457627118644,565.0,733.0,2026-03-30T05:55:24+00:00,2026-03-30T05:56:24+00:00
60,665.4666666666667,90.16229212582648,23.525319933342068,29.850739800994322,5.084745762711865,565.0,728.0,2026-03-30T05:55:34+00:00,2026-03-30T05:56:34+00:00
60,659.6833333333333,90.95272984512772,20.247201103914904,28.827653664826922,3.389830508474576,565.0,722.0,2026-03-30T05:55:44+00:00,2026-03-30T05:56:44+00:00
60,650.65,92.21547683086145,23.173260452512935,33.13855095386692,5.084745762711865,550.0,722.0,2026-03-30T05:55:54+00:00,2026-03-30T05:56:54+00:00
60,647.15,92.71420845244533,23.9922303807726,32.83798183274145,6.779661016949152,550.0,734.0,2026-03-30T05:56:04+00:00,2026-03-30T05:57:04+00:00
60,635.9,94.35445824815223,23.916521486202797,27.80117056430831,6.779661016949152,550.0,734.0,2026-03-30T05:56:14+00:00,2026-03-30T05:57:14+00:00
60,633.3833333333333,94.7293634713049,21.923209588107024,27.94249037508257,5.084745762711865,550.0,734.0,2026-03-30T05:56:24+00:00,2026-03-30T05:57:24+00:00
60,638.75,93.9334637964775,23.63027360206552,32.061712209900904,6.779661016949152,550.0,734.0,2026-03-30T05:56:34+00:00,2026-03-30T05:57:34+00:00
60,640.5,93.6768149882904,23.803930739356215,33.12508394616801,6.779661016949152,550.0,734.0,2026-03-30T05:56:44+00:00,2026-03-30T05:57:44+00:00
60,644.6833333333333,93.06894857940591,20.64920895599816,29.863242905554614,5.084745762711865,573.0,734.0,2026-03-30T05:56:54+00:00,2026-03-30T05:57:54+00:00
60,644.4833333333333,93.09783030334376,18.462972564898735,26.935888520623934,3.389830508474576,573.0,700.0,2026-03-30T05:57:04+00:00,2026-03-30T05:58:04+00:00
60,649.8,92.33610341643583,18.577369137415463,24.52242142494034,3.389830508474576,573.0,700.0,2026-03-30T05:57:14+00:00,2026-03-30T05:58:14+00:00
60,649.4666666666667,92.38349414904536,23.956174675535028,28.196926546463654,5.084745762711865,510.0,700.0,2026-03-30T05:57:24+00:00,2026-03-30T05:58:24+00:00
60,643.7166666666667,93.20870983610801,24.003177755723957,25.680627577385284,3.389830508474576,510.0,693.0,2026-03-30T05:57:34+00:00,2026-03-30T05:58:34+00:00
60,644.6,93.0809804529941,29.441409785699655,28.504058587018857,8.47457627118644,510.0,723.0,2026-03-30T05:57:44+00:00,2026-03-30T05:58:44+00:00
60,652.25,91.98926791874281,37.44306412204345,42.18587802908392,11.864406779661017,510.0,794.0,2026-03-30T05:57:54+00:00,2026-03-30T05:58:54+00:00
60,651.5666666666667,92.08574205760473,41.97275145146884,45.17512689960572,16.94915254237288,510.0,794.0,2026-03-30T05:58:04+00:00,2026-03-30T05:59:04+00:00
60,659.0833333333334,91.03552914401314,42.75253981948849,49.563618309068254,18.64406779661017,510.0,794.0,2026-03-30T05:58:14+00:00,2026-03-30T05:59:14+00:00
60,673.5666666666667,89.07804226258227,41.859733493365596,48.966736086223406,18.64406779661017,566.0,794.0,2026-03-30T05:58:24+00:00,2026-03-30T05:59:24+00:00
60,685.75,87.49544294567991,48.438323530451356,50.84927044791052,20.33898305084746,566.0,794.0,2026-03-30T05:58:34+00:00,2026-03-30T05:59:34+00:00
60,692.8666666666667,86.59674781102665,49.27216011818301,49.75923955311169,20.33898305084746,566.0,794.0,2026-03-30T05:58:44+00:00,2026-03-30T05:59:44+00:00
60,688.55,87.13964127514342,51.01179657520904,48.25441931109365,23.728813559322035,566.0,754.0,2026-03-30T05:58:54+00:00,2026-03-30T05:59:54+00:00
60,692.9333333333333,86.5884163940735,47.06270609606662,43.01393809053639,18.64406779661017,569.0,754.0,2026-03-30T05:59:04+00:00,2026-03-30T06:00:04+00:00
60,688.9666666666667,87.0869417968939,44.59136497696022,41.88279314446353,15.254237288135593,569.0,754.0,2026-03-30T05:59:14+00:00,2026-03-30T06:00:14+00:00
60,691.85,86.72400086724001,44.14939967344317,39.548650580163475,15.254237288135593,569.0,755.0,2026-03-30T05:59:24+00:00,2026-03-30T06:00:24+00:00
60,699.95,85.72040860061432,36.62221239463785,42.952249798024134,15.254237288135593,569.0,794.0,2026-03-30T05:59:34+00:00,2026-03-30T06:00:34+00:00
60,712.4,84.22234699606963,44.659350948246484,54.57142730372829,20.33898305084746,569.0,856.0,2026-03-30T05:59:44+00:00,2026-03-30T06:00:44+00:00
60,728.8166666666667,82.3252303963045,46.37467163756015,58.03782859499999,18.64406779661017,641.0,889.0,2026-03-30T05:59:54+00:00,2026-03-30T06:00:54+00:00
60,750.15,79.98400319936013,52.379158748365185,65.50011644445594,27.11864406779661,641.0,936.0,2026-03-30T06:00:04+00:00,2026-03-30T06:01:04+00:00
60,769.5,77.97270955165692,56.22880014815979,58.763098071113085,32.20338983050847,641.0,936.0,2026-03-30T06:00:14+00:00,2026-03-30T06:01:14+00:00
60,785.75,76.36016544702514,67.58999023273356,61.77175730056577,38.983050847457626,641.0,936.0,2026-03-30T06:00:24+00:00,2026-03-30T06:01:24+00:00
60,770.85,77.83615489394823,66.8477906788554,75.81284382039493,35.59322033898305,641.0,936.0,2026-03-30T06:00:34+00:00,2026-03-30T06:01:34+00:00
60,757.4166666666666,79.21663549345362,59.79725632842012,77.93484711911755,28.8135593220339,641.0,936.0,2026-03-30T06:00:44+00:00,2026-03-30T06:01:44+00:00
60,741.2666666666667,80.94253080312978,53.1167565887496,78.78717667894661,25.423728813559322,641.0,936.0,2026-03-30T06:00:54+00:00,2026-03-30T06:01:54+00:00
60,721.35,83.17737575379496,48.643985117747015,69.9389140244203,16.94915254237288,641.0,918.0,2026-03-30T06:01:04+00:00,2026-03-30T06:02:04+00:00
60,707.3166666666667,84.82763495841088,45.23423032638379,60.926043432686335,13.559322033898304,641.0,918.0,2026-03-30T06:01:14+00:00,2026-03-30T06:02:14+00:00
60,685.6833333333333,87.50394983106877,21.581929038363302,23.691156661395876,5.084745762711865,641.0,751.0,2026-03-30T06:01:24+00:00,2026-03-30T06:02:24+00:00
60,685.0,87.5912408759124,21.306082524536812,24.453345409062443,3.389830508474576,625.0,751.0,2026-03-30T06:01:34+00:00,2026-03-30T06:02:34+00:00
60,680.3166666666667,88.19422327837526,28.768509148790937,29.20731952994478,8.47457627118644,609.0,781.0,2026-03-30T06:01:44+00:00,2026-03-30T06:02:44+00:00
60,678.0833333333334,88.48469952070788,30.120379946733628,33.60452535438918,10.16949152542373,609.0,781.0,2026-03-30T06:01:54+00:00,2026-03-30T06:02:54+00:00
