n_intervals,mean_rr_ms,mean_hr_bpm,rmssd_ms,sdnn_ms,pnn50_pct,min_rr_ms,max_rr_ms,window_start,window_end
60,893.8833333333333,67.12285346708184,56.534075520125505,67.96761234355387,27.11864406779661,755.0,1083.0,2026-03-31T04:17:39+00:00,2026-03-31T04:18:39+00:00
60,894.5833333333334,67.07033069399161,52.21776436476611,65.94406763687827,20.33898305084746,755.0,1083.0,2026-03-31T04:17:49+00:00,2026-03-31T04:18:49+00:00
60,909.5333333333333,65.9678956241296,51.770844487829734,68.60485397332002,18.64406779661017,755.0,1083.0,2026-03-31T04:17:59+00:00,2026-03-31T04:18:59+00:00
60,917.8166666666667,65.37253264086873,49.56984457838681,61.94625655005291,15.254237288135593,779.0,1083.0,2026-03-31T04:18:09+00:00,2026-03-31T04:19:09+00:00
60,912.05,65.78586700290555,32.620571652183756,54.1740525168802,8.47457627118644,779.0,1083.0,2026-03-31T04:18:19+00:00,2026-03-31T04:19:19+00:00
60,912.7666666666667,65.73421465872987,24.808760071216508,45.0281895384141,3.389830508474576,779.0,997.0,2026-03-31T04:18:29+00:00,2026-03-31T04:19:29+00:00
60,921.8,65.09004122369278,18.529865952116054,27.701067714844008,0.0,872.0,981.0,2026-03-31T04:18:39+00:00,2026-03-31T04:19:39+00:00
60,918.0666666666667,65.35473095635756,19.01916963380163,26.92983139956579,0.0,872.0,981.0,2026-03-31T04:18:49+00:00,2026-03-31T04:19:49+00:00
60,907.6166666666667,66.10720384890831,18.016000421470928,19.187824234916697,0.0,872.0,943.0,2026-03-31T04:18:59+00:00,2026-03-31T04:19:59+00:00
60,903.5333333333333,66.40596177967977,16.48625518938402,22.02038090363659,0.0,838.0,943.0,2026-03-31T04:19:09+00:00,2026-03-31T04:20:09+00:00
60,889.9833333333333,67.41699282758104,17.319529488265992,40.21446390721419,0.0,747.0,943.0,2026-03-31T04:19:19+00:00,2026-03-31T04:20:19+00:00
60,877.0666666666667,68.40985101854666,18.205512296172873,47.0012140725512,0.0,747.0,943.0,2026-03-31T04:19:29+00:00,2026-03-31T04:20:29+00:00
