week,sessions,avg_rmssd,avg_sdnn,avg_mean_hr,total_trimp,avg_fatigue,avg_readiness
2026-04-13/2026-04-19,9,38.50514226677826,78.82373893509622,70.07010371831475,4.645451364167879,24.455960598175764,43.997819145033276
2026-04-20/2026-04-26,9,42.41305950850344,63.07498710915637,65.99437068270856,1.2474993318126004,19.251371854800578,56.57689519903767
2026-04-27/2026-05-03,9,39.00418751519945,69.00352697236825,71.55092474923131,5.086820780349148,16.07110481689297,58.40514358389555
2026-05-04/2026-05-10,10,35.51385542003654,61.933375575514006,72.5763940330247,5.238275090589688,17.00496823348214,61.25811574916027
2026-05-11/2026-05-17,9,33.053275201816255,56.66423457911287,78.62505405580008,7.255251657330951,22.144460300881224,59.66802767174446
2026-05-18/2026-05-24,9,35.587470329096675,76.94258086359231,69.31970732125049,3.6559470377943617,7.884977455978305,69.56674215815627
2026-05-25/2026-05-31,9,46.174057129907084,74.14875464094433,63.20802715885001,1.4306727393747902,6.652415316165307,65.82913062733951
2026-06-01/2026-06-07,8,37.88871771440308,68.29205650217038,61.79880908969173,0.3541306081737,12.127099769383221,53.37109318111772
2026-06-08/2026-06-14,10,40.74952240206458,65.16413564609444,65.6965669131662,3.6065358245756904,12.610629308378588,63.78418764386623
2026-06-15/2026-06-21,8,44.876243759343744,80.36571173708565,62.181758744402686,0.5696508269433755,8.663340739660002,67.0850004325712
2026-06-22/2026-06-28,8,32.891711567680815,67.96218297885771,62.45541058850784,0.5338408296293309,12.562980769287755,57.77549273202354
2026-06-29/2026-07-05,8,37.54202569670815,69.79810841715828,60.3936744163359,0.1576513481639209,6.857137680928767,55.66204100171767
2026-07-06/2026-07-12,7,43.853098444971415,71.9973455266223,61.21627963826463,0.14405685510095512,3.1591833917832437,67.03836748786482
2026-07-13/2026-07-19,8,43.86494353548632,74.8651500927766,63.81443153449776,0.788211039065118,26.44104119950722,48.761541296358445
2026-07-20/2026-07-26,8,39.216788016482255,64.4965783081013,64.22642997255178,0.8142633670896279,13.931302980863721,61.08030485131946
2026-07-27/2026-08-02,7,43.294100184480726,74.59293446325655,64.17277592869175,0.6677234509968498,15.750303201080172,64.19478640531563
2026-08-03/2026-08-09,2,53.26491551079499,70.94221895327487,62.27446014704893,0.07680868562709578,3.662917496692127,77.21431123674785
