summary_date,sessions,avg_rmssd,avg_sdnn,avg_mean_hr,total_trimp,avg_fatigue,avg_readiness
2026-04-14,2,33.19874045926855,61.11017897093579,75.579834527804,2.242149703891466,0.0,35.0
2026-04-15,2,46.55538169414035,96.42352994234604,66.69254431673531,0.2088018297327669,0.0,62.522734793655566
2026-04-16,1,44.93465917869655,72.84925314656495,64.97316983163843,0.05904062650649064,35.0,47.47645942421543
2026-04-17,1,40.88469957353089,114.64233791430676,64.26161617964692,0.12494803874539694,35.005220655004905,45.24639300199661
2026-04-18,1,31.32279231543309,56.21571470473467,66.18944891155128,0.05961812536869729,48.69163430928143,35.79032538631465
2026-04-19,2,34.947942513262994,75.31946341184796,75.33097042645876,1.9508930399230613,50.703395209647766,36.21086245273081
2026-04-20,1,50.06924199628789,64.20090860343363,65.4101924470466,0.05129766233491517,25.1000123600351,53.54809619192836
2026-04-21,2,42.83278283509317,66.43002223339157,65.83331763998345,0.6711265126320559,27.798812753895582,49.161345430088424
2026-04-22,1,40.02031606976664,54.80827822406964,64.64897998276028,0.050633818853842744,25.844063204550682,48.711964159893924
2026-04-23,1,37.48295492770494,71.78808593722857,68.20823198419906,0.12547648524617494,30.70649423715721,45.10351200995129
2026-04-24,2,44.54587429365033,51.67231849857449,66.3792361098945,0.19359222003534854,15.174757496764459,61.206909189088705
2026-04-25,1,42.401907831010355,76.55658115367461,64.00151707299729,0.06764913322158168,0.0,71.99494118209756
2026-04-26,1,36.98580049427411,64.11634860006873,67.25530715761789,0.08772349948868133,5.664636390142111,69.09703400911364
2026-04-27,1,35.77871265249446,69.79737250616687,70.3371167203117,0.16645016953808078,8.232403657643914,59.07430906230633
2026-04-28,1,46.40787660770481,75.58000573540453,65.09564331951414,0.06507321188398928,0.0,67.43205053404958
2026-04-29,2,33.52615412656958,54.24633130043206,71.32212886882252,1.4571790140410312,13.250423791983284,61.01114540930917
